,level_0,index,D_l,D_s,alpha,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,length,m_l,mu_l_b,mu_l_l,mu_s_b,mu_s_l,name,q_fitted,q_fitted_log,q_true,q_true_log,rho,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c,tEp_true_2,tEp_fitted_2
3093,3093,3093,7.867,26.091,149.462,0.02252101,-19201.97696,-19009.68884,0.54906642,0.757362675,0.444531,38323,0.2,-2.13,-0.146,24.7581,24.6284,cassan_28_98_1578.det.lc.gz,0.000145574,-3.83691518,0.00016016,-3.79544594,0.00341907,0.892734537,1.120153818,1.120153818,0.049277663,1.03335,0.014247444,1620.491022,1620.492486,2.967174108,2.95197,0.035800199,0.0374,1620.833583,0.195935537,0.197225,0.227419281,0.0386978429648,0.035800199
3094,3094,3094,6.148,29.5607,161.058,-0.07086749,-26022.18955,-23613.27098,1.28902664,0.109701691,0.0375859,38323,0.157,-0.006,-0.026,28.7272,28.7545,cassan_28_99_1387.det.lc.gz,6.73e-05,-4.171937379,0.00077385,-3.111343213,0.0014828,0.868502537,1.151407114,0.868502537,-0.061228908,0.873075,-0.058948447,1434.765439,1434.829078,4.8190546,6.38132,0.039536039,0.1775,1434.441657,0.274810438,0.18228,0.282904576,0.177768582799,0.039536039
3095,3095,3095,6.403,25.0344,23.7238,-0.050491272,-19219.32215,-19049.12808,5.1790576,0.843616419,0.81093,38323,0.36,0.723,-1.809,23.5789,23.6322,cassan_28_99_2291.det.lc.gz,0.001886525,-2.724337513,0.000371461,-3.430086776,0.00122224,0.830126628,1.204635494,0.830126628,-0.080855655,1.0217,0.009323393,1431.81668,1431.819688,15.10297523,15.0554,0.655984765,0.2902,1429.57305,0.343785034,0.34639,0.374508866,0.290750479866,0.655984765
3098,3098,3098,8.814,28.3829,183.11,0.010519816,-19545.64663,-19337.65091,10.0421616,0.824995,0.926147,38323,0.25,-3.155,-13.735,25.692,25.862,cassan_28_9_159.det.lc.gz,0.002035491,-2.691330728,0.000152916,-3.815547071,0.0277595,0.556206941,1.797891984,1.797891984,0.254763596,2.01706,0.304718817,483.3590949,483.2787015,14.40850273,13.7188,0.650060068,0.1696,482.3454902,1.239690668,1.33386,1.241685044,0.41690389047,0.650060068
3099,3099,3099,6.775,27.9973,51.9671,0.00816442,-19283.74697,-19146.69826,7.01520318,1.100241276,0.162215,38323,0.2,6.008,-2.474,25.6255,25.7397,cassan_28_9_3236.det.lc.gz,1.4e-05,-4.854893468,3.66e-05,-4.436574688,0.001243,0.439350946,2.276084777,2.276084777,0.357188434,1.63948,0.214706123,1383.875004,1384.45369,5.772407908,8.58654,0.021572987,0.0519,1391.337883,1.304653398,0.62687,1.836733831,0.0530319120743,0.021572987
3100,3100,3100,4.973,24.2532,122.058,-0.007806793,-19109.82246,-19078.74783,6.9491556,0.629371438,0.555476,38323,0.35,-1.128,1.432,22.8117,22.902,cassan_29_100_1250.det.lc.gz,2.09e-05,-4.678909838,4.04e-06,-5.393859499,0.000949491,0.765328744,1.306628044,0.765328744,-0.116151975,0.755047,-0.122026014,340.0858669,340.0881426,14.09886114,14.1243,0.064525164,0.0284,333.6145642,0.286929936,0.286357,0.5412993,0.0313976967355,0.064525164
3101,3101,3101,9.447,28.03,16.8835,-0.096836408,-19683.78229,-19439.90252,1.6200288,0.219177573,0.0395747,38323,0.2,0.032,-0.131,25.825,25.9644,cassan_29_101_2491.det.lc.gz,3.96e-05,-4.401923497,0.000172793,-3.762473855,0.00130362,0.871776161,1.147083443,0.871776161,-0.059595011,0.900813,-0.045365355,1575.193257,1575.177315,10.2204073,10.3848,0.064343763,0.1365,1574.357645,0.262886941,0.26123,0.275307283,0.13717861892,0.064343763
3103,3103,3103,5.539,27.4599,83.375,-0.085977852,-20144.77707,-19331.69973,10.56423536,0.953929985,0.824513,38323,0.25,2.755,5.947,24.6856,24.944,cassan_29_102_2852.det.lc.gz,0.019014769,-1.720908957,0.00120978,-2.9172936,0.00345511,0.528631843,1.89167568,0.528631843,-0.27684668,0.525775,-0.279200068,1457.325471,1457.324207,7.486012699,7.69988,1.032276596,0.2678,1447.152785,0.106301563,0.103058,1.363043837,0.269134519827,1.032276596
3104,3104,3104,7.1,30.8886,35.2214,0.0472342,-19899.07215,-19332.30328,6.7919742,0.618001612,0.0203042,38323,0.12,0.005,-0.025,27.8183,27.873,cassan_29_102_3057.det.lc.gz,2.3e-06,-5.637917673,5.8e-05,-4.236751003,0.00135878,0.499561099,2.001757148,2.001757148,0.301411388,1.64928,0.217294393,1409.949087,1409.896989,8.676290952,11.4343,0.013163618,0.0871,1416.815975,1.276790119,0.85733,1.50219605,0.0884561786759,0.013163618
3105,3105,3105,6.016,25.6173,74.4173,0.268307126,-19484.95802,-19211.58832,19.2365568,0.807036136,0.630453,38323,0.605,-0.057,-2.419,22.9463,23.1799,cassan_29_102_731.det.lc.gz,0.00147067,-2.832484852,8.02e-05,-4.095626941,0.00204342,0.953513202,1.048753177,1.048753177,0.020673289,1.32893,0.123502106,507.8971562,507.8996265,33.3566603,33.3968,1.279204964,0.2992,510.9376194,0.02760997,0.0275717,0.095239975,0.306770224052,1.279204964
