,chi_sub,is_in_matts,name
259,"4309    16.884216
Name: chi_sub, dtype: float64",0,cassan_13_17_2994.det.lc.gz
260,"4311    12.454165
Name: chi_sub, dtype: float64",0,cassan_13_18_2658.det.lc.gz
261,"4312    16.47824
Name: chi_sub, dtype: float64",0,cassan_13_18_517.det.lc.gz
262,"4313    13.713615
Name: chi_sub, dtype: float64",0,cassan_13_19_1674.det.lc.gz
263,"4316    7.100922
Name: chi_sub, dtype: float64",0,cassan_13_20_602.det.lc.gz
264,"4317    4.162561
Name: chi_sub, dtype: float64",0,cassan_13_20_869.det.lc.gz
266,"4320    22.06098
Name: chi_sub, dtype: float64",0,cassan_13_22_1728.det.lc.gz
267,"4322    5.130326
Name: chi_sub, dtype: float64",0,cassan_13_23_2721.det.lc.gz
269,"4325    19.000788
Name: chi_sub, dtype: float64",0,cassan_13_32_992.det.lc.gz
270,"4326    20.367877
Name: chi_sub, dtype: float64",0,cassan_13_34_1978.det.lc.gz
271,"4327    23.53804
Name: chi_sub, dtype: float64",0,cassan_13_34_2351.det.lc.gz
272,"4328    15.443666
Name: chi_sub, dtype: float64",0,cassan_13_34_752.det.lc.gz
273,"4329    22.530001
Name: chi_sub, dtype: float64",0,cassan_13_35_2762.det.lc.gz
276,"4333    5.298339
Name: chi_sub, dtype: float64",0,cassan_13_43_1477.det.lc.gz
277,"4334    21.554213
Name: chi_sub, dtype: float64",0,cassan_13_44_2038.det.lc.gz
278,"4335    21.246844
Name: chi_sub, dtype: float64",0,cassan_13_44_2230.det.lc.gz
279,"4337    15.273803
Name: chi_sub, dtype: float64",0,cassan_13_44_2592.det.lc.gz
280,"4339    11.865495
Name: chi_sub, dtype: float64",0,cassan_13_45_187.det.lc.gz
283,"4342    28.053522
Name: chi_sub, dtype: float64",0,cassan_13_47_1120.det.lc.gz
284,"4343    16.960422
Name: chi_sub, dtype: float64",0,cassan_13_47_1213.det.lc.gz
285,"4344    18.095301
Name: chi_sub, dtype: float64",0,cassan_13_47_3140.det.lc.gz
286,"4345    14.903124
Name: chi_sub, dtype: float64",0,cassan_13_47_857.det.lc.gz
288,"4351    30.803221
Name: chi_sub, dtype: float64",0,cassan_13_57_3079.det.lc.gz
289,"4352    20.428859
Name: chi_sub, dtype: float64",0,cassan_13_58_3153.det.lc.gz
290,"4354    11.423711
Name: chi_sub, dtype: float64",0,cassan_13_63_1500.det.lc.gz
291,"4355    17.466959
Name: chi_sub, dtype: float64",0,cassan_13_69_663.det.lc.gz
292,"4356    2.672721
Name: chi_sub, dtype: float64",0,cassan_13_6_1194.det.lc.gz
293,"4357    11.003702
Name: chi_sub, dtype: float64",0,cassan_13_70_2325.det.lc.gz
294,"4358    9.726527
Name: chi_sub, dtype: float64",0,cassan_13_72_1706.det.lc.gz
295,"4359    16.084898
Name: chi_sub, dtype: float64",0,cassan_13_72_2465.det.lc.gz
296,"4363    37.241419
Name: chi_sub, dtype: float64",0,cassan_13_75_1037.det.lc.gz
297,"4364    11.263935
Name: chi_sub, dtype: float64",0,cassan_13_75_1724.det.lc.gz
298,"4367    11.647896
Name: chi_sub, dtype: float64",0,cassan_13_84_1259.det.lc.gz
299,"4368    3.287573
Name: chi_sub, dtype: float64",0,cassan_13_84_1588.det.lc.gz
300,"4369    14.484254
Name: chi_sub, dtype: float64",0,cassan_13_86_253.det.lc.gz
302,"4376    29.515999
Name: chi_sub, dtype: float64",0,cassan_13_98_670.det.lc.gz
306,"4381    19.954494
Name: chi_sub, dtype: float64",0,cassan_14_100_352.det.lc.gz
311,"4386    10.047751
Name: chi_sub, dtype: float64",0,cassan_14_109_922.det.lc.gz
312,"4387    34.880683
Name: chi_sub, dtype: float64",0,cassan_14_112_2453.det.lc.gz
316,"4395    10.2353
Name: chi_sub, dtype: float64",0,cassan_14_126_1659.det.lc.gz
317,"4398    7.825177
Name: chi_sub, dtype: float64",0,cassan_14_136_1694.det.lc.gz
318,"4401    36.671224
Name: chi_sub, dtype: float64",0,cassan_14_138_3310.det.lc.gz
321,"4408    35.802254
Name: chi_sub, dtype: float64",0,cassan_14_18_2415.det.lc.gz
322,"4409    16.021521
Name: chi_sub, dtype: float64",0,cassan_14_18_306.det.lc.gz
323,"4411    1.676864
Name: chi_sub, dtype: float64",0,cassan_14_19_2666.det.lc.gz
324,"4412    19.38905
Name: chi_sub, dtype: float64",0,cassan_14_19_2795.det.lc.gz
325,"4414    6.363844
Name: chi_sub, dtype: float64",0,cassan_14_21_599.det.lc.gz
326,"4416    15.198511
Name: chi_sub, dtype: float64",0,cassan_14_22_3296.det.lc.gz
328,"4419    6.875017
Name: chi_sub, dtype: float64",0,cassan_14_24_19.det.lc.gz
329,"4420    29.615026
Name: chi_sub, dtype: float64",0,cassan_14_24_3271.det.lc.gz
330,"4421    4.384989
Name: chi_sub, dtype: float64",0,cassan_14_30_2335.det.lc.gz
331,"4422    16.246512
Name: chi_sub, dtype: float64",0,cassan_14_30_52.det.lc.gz
332,"4424    6.160563
Name: chi_sub, dtype: float64",0,cassan_14_31_861.det.lc.gz
334,"4428    35.20145
Name: chi_sub, dtype: float64",0,cassan_14_35_1436.det.lc.gz
335,"4429    12.694164
Name: chi_sub, dtype: float64",0,cassan_14_35_1801.det.lc.gz
336,"4430    20.642194
Name: chi_sub, dtype: float64",0,cassan_14_35_3254.det.lc.gz
337,"4431    9.154418
Name: chi_sub, dtype: float64",0,cassan_14_36_583.det.lc.gz
339,"4433    18.277724
Name: chi_sub, dtype: float64",0,cassan_14_43_1943.det.lc.gz
