,chi_2_1,chi_2_2,name,q_fitted,q_true,s_fitted,s_true,u0_fitted,u0_true
267,-39643.1662303,-21650.947562,cassan_42_84_440.det.lc.gz,2.29712245751e-06,2.81251e-05,0.974426789024,0.965956,0.0297408313846,0.0291982
268,-20170.3272373,-19752.1809138,cassan_42_8_606.det.lc.gz,8.63892766251e-07,0.000121852,1.01928909976,3.40948,0.00526160101078,1.67826
269,-51553.1692042,-20900.6162136,cassan_42_97_3255.det.lc.gz,2.66019975639e-06,0.000315498,1.0060830817,1.06952,0.0115694669442,0.0110618
270,-19785.9347622,-19526.9179825,cassan_43_101_1757.det.lc.gz,3.48519125468e-07,9.71587e-06,0.981762061921,1.03177,0.0249781874436,0.0250937
271,-22381.4839104,-19776.8657254,cassan_43_102_1096.det.lc.gz,2.69357905934e-06,0.00158938,0.998362612867,0.555337,0.00308119444368,0.00272888
272,-21204.2279853,-20606.8577435,cassan_43_114_581.det.lc.gz,0.000746389117709,0.00139419,1.11268938815,2.36009,0.14114144499,1.93815
273,-19185.2356658,-19155.0433691,cassan_43_46_2902.det.lc.gz,0.0001410385034,6.66574e-05,0.815148721481,0.788208,0.196357923984,0.196368
274,-20716.5055055,-19465.9901665,cassan_43_49_917.det.lc.gz,4.8719627458e-05,0.00105312,0.998559299965,0.601595,0.00248192010589,0.0028342
275,-20831.963351,-19741.441823,cassan_43_76_1064.det.lc.gz,5.52709560108e-06,0.000149444,1.0260042967,1.04488,0.0498828575602,0.052662
276,-20994.3001056,-19385.1449357,cassan_43_7_2910.det.lc.gz,2.33425364102e-08,4.04962e-07,3.23583989611,3.99704,2.28063725971,2.88728
277,-19483.6547689,-19233.4251378,cassan_44_109_1108.det.lc.gz,3.58783274641e-05,0.000171792,0.997038583522,0.633701,0.00293943797166,0.00300622
278,-20203.094794,-19588.7248008,cassan_44_114_2488.det.lc.gz,0.000399350081281,0.0129527,1.43858293206,1.51825,0.736544388872,0.503533
279,-37177.9794753,-20899.083591,cassan_44_75_930.det.lc.gz,1.26809383822e-06,0.00018635,1.04076130048,1.07308,0.0753195961397,0.0728524
280,-26368.5888224,-20177.4552829,cassan_44_76_1201.det.lc.gz,3.36537004186e-05,2.90252e-05,1.08801824986,1.09447,0.103121130315,0.0824572
281,-19372.639465,-19284.0445502,cassan_44_88_2608.det.lc.gz,3.75368725466e-05,4.61138e-05,0.907260003486,0.882716,0.090288484424,0.0911418
282,-19534.9092388,-19152.3260326,cassan_45_113_852.det.lc.gz,1.17393716263e-05,0.000227612,1.01960516556,1.16876,0.0316669236648,0.0292193
283,-66078.5526383,-23344.0284823,cassan_45_18_1106.det.lc.gz,7.40159813985e-07,0.0049044,1.06172965843,0.820224,0.117599552679,0.0692049
284,-39248.2128726,-20654.8295481,cassan_45_23_2761.det.lc.gz,2.08763127079e-06,0.000530222,1.00688782202,0.843624,0.0105897347677,0.0102214
285,-19213.4649971,-19160.8077318,cassan_45_58_2250.det.lc.gz,4.93187868673e-08,3.46046e-05,1.00600771193,1.31709,0.0116209483312,0.011766
286,-32467.2714455,-19639.3224917,cassan_45_62_885.det.lc.gz,6.98935248367e-06,0.00604533,1.03768725221,0.790142,0.0669089001061,0.0641202
287,-19408.1334443,-19340.9340104,cassan_46_111_762.det.lc.gz,8.71816024663e-07,0.000238105,1.15617015462,1.1536,0.138405919826,0.144404
288,-20340.6916346,-19542.8568027,cassan_46_113_697.det.lc.gz,4.73846971495e-05,0.00020011,1.05155822271,0.955242,0.0190600373089,0.016612
289,-19674.4435548,-19401.0245155,cassan_46_127_1794.det.lc.gz,2.81639159158e-07,6.95749e-06,1.00271875889,1.00505,0.00401306707438,0.00403619
290,-21896.2311963,-20860.7790929,cassan_46_46_2231.det.lc.gz,0.0162173032593,0.00603345,1.86950760315,1.30059,0.772193452838,0.183354
291,-20229.6914767,-19542.7388088,cassan_46_58_3231.det.lc.gz,0.000662939318461,0.00222541,0.833276399333,0.970097,0.351346937051,0.212984
292,-26275.2093713,-19946.7666666,cassan_46_5_1089.det.lc.gz,9.26261788223e-05,0.000289001,2.7952585009,1.78857,1.68872484768,0.723338
293,-42619.2172148,-21612.1103026,cassan_46_61_2025.det.lc.gz,2.34416364116e-06,0.0004684,1.21766199545,1.20137,0.335983782201,0.346979
294,-23462.3838279,-21377.4959331,cassan_46_76_2902.det.lc.gz,0.00037118462501,0.000188919,0.948998013493,0.978317,0.0692330736165,0.0614934
295,-19476.5752668,-19412.9576441,cassan_46_84_521.det.lc.gz,4.96648788626e-11,3.59014e-05,1.03703936222,1.39839,3.99071271772e-08,0.051949
296,-19797.2485945,-19386.6708606,cassan_46_85_2585.det.lc.gz,1.4283677942e-05,2.81843e-05,0.977064936725,1.01258,0.0299324911081,0.0304742
297,-55620.1370955,-22683.0674013,cassan_46_98_913.det.lc.gz,8.44356238025e-06,0.0356588,0.996798146194,0.158186,0.00584421374125,0.00771242
298,-24702.2904274,-19583.9461989,cassan_47_10_3223.det.lc.gz,2.4241102979e-05,0.0128084,1.00899698666,1.42353,0.00813722902721,0.0148931
299,-19933.5948022,-19483.3174735,cassan_47_139_3138.det.lc.gz,0.000362355331925,0.000166577,0.673966530038,0.69187,0.54533203005,0.484386
