,Unnamed: 0,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,name,q_fitted,q_fitted_log,q_true,q_true_log,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c
11,11,-0.0170213995197,-20686.6428473,-20653.1114937,3.2651604,0.457098709058,0.454627,cassan_0_115_2533.det.lc.gz,0.000568451023439,-3.24530694728,0.000156746,-3.80480353311,0.809966993917,1.23461820977,0.809966993917,-0.0915326782221,0.73996,-0.130791756281,1625.9689831,1625.96591234,6.9064593416,6.9324,0.164665260606,0.0868,1627.10941811,0.391231525684,0.390201,0.424651215849
12,12,0.0382830841599,-21349.4559878,-20565.0211943,20.0945622,0.134040643484,0.0263302,cassan_0_115_641.det.lc.gz,6.7087198704e-06,-5.17336034216,9.12033e-06,-5.03998944735,0.398229379448,2.51111558214,2.51111558214,0.399866702969,1.72117,0.235823767722,1417.41596383,1417.30850637,13.1601438185,21.8182,0.0340863472766,0.0659,1437.39393297,-1.46961328436,0.671771,2.1128862027
13,13,-2.54623218109,-22339.0969161,-21114.3585432,34.222032,0.227223650771,0.178374,cassan_0_123_591.det.lc.gz,0.0623610782982,-1.20508638394,0.0394025,-1.40447622229,0.894881978216,1.11746579364,0.894881978216,-0.0482342379684,0.402304,-0.395445649335,1621.16997394,1621.23635709,14.5417359741,16.4529,3.63139142044,3.2659,1623.79485277,0.130234151698,0.10958,0.222583815423
14,14,-0.0205992214267,-20551.4088377,-20519.1999672,16.43523,0.13159790983,0.131851,cassan_0_124_499.det.lc.gz,5.61248026461e-05,-4.25084517311,0.000332546,-3.47814827167,0.600303371166,1.66582439485,0.600303371166,-0.221629217739,1.65607,0.219078689919,333.069012582,333.068927675,15.6766985021,15.6526,0.117444320467,0.2854,349.741486339,0.0652796521816,0.065411,1.06552102369
15,15,0.21309198511,-22191.0190743,-20573.8963987,6.6108546,0.108416392699,0.0669035,cassan_0_125_1956.det.lc.gz,5.40985382022e-05,-4.26681446982,0.00101528,-2.9934141689,0.542019665232,1.84495151033,1.84495151033,0.265984956364,1.67953,0.225187765676,148.348275026,148.488560468,16.0090221808,18.5178,0.117749093248,0.59,151.287176539,1.28993432942,1.02371,1.3029318451
16,16,0.129423956889,-21462.3557416,-21065.4644726,1.8555885,0.105699861838,0.0529062,cassan_0_125_2446.det.lc.gz,6.32907950083e-05,-4.19865944903,0.0022271,-2.65226028208,0.723578381802,1.38202028301,1.38202028301,0.140514416943,1.28308,0.108253735467,1430.31291907,1430.29085219,3.4680973739,4.5817,0.0275906262491,0.2162,1428.80391784,0.494191947191,0.299427,0.658441901211
17,17,-4.09615697274,-20501.1911316,-20450.123734,56.877114,0.0162495181282,0.359377,cassan_0_136_1876.det.lc.gz,0.00743227699538,-2.12887811288,0.00486114,-2.31326187114,0.796823045097,1.25498378361,0.796823045097,-0.0986381140751,2.85865,0.456160985588,323.80434333,325.920802206,90.282132947,39.0908,7.78328179513,2.7255,311.552210931,0.437600532628,2.04374,0.458160738508
18,18,-0.149495815032,-20697.259972,-20655.196494,63.0467175,0.77304580922,0.774511,cassan_0_136_2536.det.lc.gz,3.20535744648e-05,-4.49412353295,0.000195779,-3.70823389411,0.993963131796,1.00607353332,0.993963131796,-0.00262972420873,2.88168,0.459645752345,115.221156876,115.219232664,24.9113513887,24.8705,0.141037798809,0.348,115.346126529,0.0110225135079,0.0110986,0.0121104015277
19,19,0.00111213700334,-21946.2164637,-20684.8171722,0.56768111,1.2136892475,0.804048,cassan_0_137_1145.det.lc.gz,6.60025114091e-06,-5.18043953915,2.76558e-05,-4.55821377417,0.383346362059,2.60860699089,2.60860699089,0.416408653824,2.34738,0.370583400014,1399.72038392,1399.6840632,3.98614929065,4.46993,0.0102407977804,0.0235,1398.81644746,-2.21367579606,1.92556,2.22526062883
20,20,0.042391756238,-21935.481773,-21184.1027842,23.1343554,0.906153117353,0.840807,cassan_0_139_2444.det.lc.gz,0.000195910763483,-3.70794170289,9.28788e-05,-4.03208340435,0.687628558169,1.45427351456,1.45427351456,0.162646094757,1.50588,0.177790365348,1627.52284342,1627.37086952,44.3813384877,45.4506,0.62119727858,0.438,1641.41616723,0.699819814523,0.670216,0.766644956391
21,21,-0.134548083677,-20881.822745,-20546.5585745,7.8626235,0.717353061046,0.717536,cassan_0_140_2323.det.lc.gz,7.33211778873e-05,-4.13477056682,8.92771e-05,-4.04925992542,0.983697030274,1.01657316148,0.983697030274,-0.00713863971952,1.30705,0.116292201436,294.125677571,294.125124961,14.5348255218,14.5335,0.124458493386,0.1373,294.44151877,0.0246708081919,0.0249531,0.0328761312014
